GLOBAL_UID,CCF_UID,COGNITIVE_CHALLENGE_FAMILY_NUMBER,COGNITIVE_CHALLENGE_FAMILY,COGNITIVE_CHALLENGE_NUMBER,COGNITIVE_CHALLENGE_FULL,COGNITIVE_CHALLENGE,TECHNOLOGY_NUMBER,TECHNOLOGY,VALUE,binary,weighted
594,14,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,15,Robot controller interfaces,1,1,1
595,15,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,16,Exoskeletons,1,1,1
596,16,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,17,Body-integrated interfaces,1,1,1
597,17,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,18,Smart home devices,1,1,1
598,18,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,19,Rapid 3D modelling,1,1,1
599,19,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,20,Haptic feedback equipment,1,1,1
600,20,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,21,Physical/tactile displays,1,1,2
601,21,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,22,Visual/light indicators,1,1,1
602,22,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,23,1D visual displays,1,1,2
603,23,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,24,3D visual displays,1,1,2
604,24,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,25,Virtual reality headsets,1,1,2
605,25,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,26,Augmented reality glasses,1,1,2
606,26,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,27,Audio indicators,1,1,2
607,27,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,28,Brain computer interface,1,1,2
608,28,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,29,Olfactory interfaces,1,1,1
609,29,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,1,Touchscreens,1,1,4
610,30,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,2,Touch-interactive large objects,1,1,2
611,31,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,3,Gesture and movement sensors,1,1,1
612,32,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,4,Handheld controllers,1,1,1
613,33,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,5,Keyboard and text input devices,1,1,1
614,34,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,6,Drawing or writing implements,1,1,2
615,35,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,7,Image recognition cameras,1,1,2
616,36,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,8,Eye tracking equipment,1,1,2
617,37,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,9,Physiological monitors,1,1,1
618,38,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,10,Physical virtual reality control interfaces,1,1,1
619,39,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,11,Smart clothing and other wearables,1,1,1
620,40,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,12,Telepresence equipment,1,1,4
621,41,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,13,Speech-based interfaces,1,1,1
622,42,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,14,Vehicle controls,1,1,1
623,43,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,15,Robot controller interfaces,1,1,1
624,44,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,16,Exoskeletons,1,1,1
625,45,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,17,Body-integrated interfaces,1,1,3
626,46,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,18,Smart home devices,1,1,1
627,47,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,19,Rapid 3D modelling,1,1,2
628,48,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,20,Haptic feedback equipment,1,1,1
629,49,FAMILY4,4. Operation of novel equipment,4.2,Local power generation and power storage technologies deployable in-theatre.,Power generation and storage,21,Physical/tactile displays,1,1,4
